"","date","open","high","low","adj.close","volume","macd","boll_ub","boll_lb","rsi_30","cci_30","dx_30","close_30_sma","close_60_sma","arima_res","residuals"
"1802","2017-03-09",263480,263620,262380,262866,300,4602.26515641605,268564.009834408,243477.190165592,68.8072148783091,114.142897622838,58.9906961734072,252539.133333333,248697.716666667,262389.503218525,476.496781474852
"1803","2017-03-10",263500,263800,261660,262491,600,4465.11025254027,268767.772164354,244922.527835646,68.1293910198402,101.930737216562,52.1002108944258,253034.166666667,248924.416666667,262831.503989275,-340.503989275312
"1804","2017-03-13",262880,263340,262040,262990,300,4346.57452725252,268753.499893101,246635.800106899,68.5557899395727,95.9472499195884,52.1002108944258,253567.166666667,249145.733333333,262514.5854739,475.414526100096
"1805","2017-03-14",262880,263100,261390,261900,400,4117.21947721508,268651.888928936,248093.411071064,66.5439945419423,83.0492759761462,45.5911070723343,254080.5,249392.066666667,262954.530596416,-1054.53059641557
"1806","2017-03-15",262000,262500,260606,261787,700,3881.5912245964,268607.418642183,249274.681357817,66.3352288616315,72.7769841687741,37.9779054346398,254607.4,249617.333333333,261980.122816218,-193.122816217801
"1807","2017-03-16",262910,263050,260600,260919,300,3583.50537169463,268377.034675294,250497.965324706,64.7217436648118,66.7612572635862,40.3182736105729,255123.7,249859.233333333,261809.835185779,-890.835185778589
"1808","2017-03-17",260320,260475,258610,258952,400,3152.2129755842,267941.297488054,251678.902511946,61.2303761069812,40.6301355672016,22.4475571852913,255611.1,250036.266666667,260989.107245931,-2037.10724593111
"1809","2017-03-20",258650,259270,257598,258000,200,2702.44015269898,267570.99584662,252565.40415338,59.6201232520683,25.9927363965051,14.5189616376707,256022.9,250185.583333333,259116.229137113,-1116.22913711332
"1810","2017-03-21",257900,258300,253651,253651,400,1972.32822419688,267576.042705125,252556.457294875,53.0295821629501,-12.7048856557682,9.82461797075033,256317.1,250269.25,258100.374817158,-4449.37481715807
"1811","2017-03-22",253200,254900,252400,253880,200,1396.09434033689,267608.269854871,252497.130145129,53.3107170474182,-35.4926647297246,15.8828443305146,256637.766666667,250350.583333333,253982.967337086,-102.967337085924
