Date,Open,High,Low,Close,Adj Close,Volume
2016-08-23,5.77,5.86,5.69,5.86,5.86,60900
2016-08-25,5.83,5.99,5.83,5.96,5.96,225700
2016-08-26,5.97,5.97,5.672,5.74,5.74,114600
2016-08-29,5.73,5.939,5.69,5.91,5.91,162400
2016-08-30,5.91,6.31,5.9,6.3,6.3,149200
2016-08-31,6.29,6.36,6.05,6.07,6.07,215200
2016-09-01,6.1,6.1,5.885,5.99,5.99,58300
2016-09-02,6.02,6.02,5.83,5.92,5.92,59900
2016-09-07,5.9,6.14,5.9,6.09,6.09,74300
2016-09-08,6.1,6.29,5.94,6.04,6.04,71100
2016-09-09,5.96,6.01,5.66,5.75,5.75,140200
2016-09-12,5.64,6.015,5.52,6.01,6.01,118200
2016-09-13,5.89,5.98,5.78,5.9,5.9,72500
2016-09-14,5.92,5.98,5.68,5.83,5.83,351700
2016-09-15,5.82,5.84,5.68,5.79,5.79,48100
2016-09-16,5.82,5.825,5.68,5.71,5.71,124900
2016-09-19,5.75,5.86,5.47,5.78,5.78,117900
2016-09-20,5.84,5.84,5.59,5.61,5.61,40400
2016-09-21,5.66,5.7,5.42,5.5,5.5,85600
2016-09-23,5.45,5.5,5.26,5.32,5.32,120100
2016-09-26,5.26,5.318,5.15,5.16,5.16,47800
2016-09-27,5.16,5.26,5.07,5.21,5.21,706800
2016-09-28,5.21,5.42,5.12,5.39,5.39,89500
2016-09-29,5.36,5.49,5.23,5.26,5.26,34600
2016-09-30,5.29,5.36,5.17,5.29,5.29,103900
2016-10-03,5.3,5.42,5.25,5.37,5.37,51700
2016-10-04,5.37,5.46,5.25,5.3,5.3,40800
2016-10-05,5.35,5.4,5.32,5.35,5.35,28800
2016-10-11,5.31,5.32,5.05,5.09,5.09,37200
2016-10-12,5.11,5.32,5.02,5.12,5.12,39800
2016-10-14,5.15,5.189,5.0,5.01,5.01,27000
2016-10-17,5.03,5.03,4.84,4.86,4.86,58200
2016-10-18,4.92,4.97,4.88,4.92,4.92,21500
2016-10-19,4.91,5.0,4.91,4.97,4.97,29700
2016-10-20,4.98,5.15,4.93,5.11,5.11,34600
2016-10-21,5.04,5.07,4.935,5.03,5.03,39600
2016-10-24,5.08,5.08,4.91,4.93,4.93,31600
2016-10-25,4.96,4.96,4.767,4.83,4.83,27800
2016-10-26,4.8,4.85,4.73,4.73,4.73,50600
2016-10-27,4.76,4.83,4.65,4.76,4.76,44200
2016-10-28,4.77,4.805,4.65,4.66,4.66,39100
2016-10-31,4.65,4.75,4.55,4.7,4.7,36300
2016-11-01,4.743,4.75,4.6,4.65,4.65,32800
2016-11-03,4.72,4.82,4.57,4.6,4.6,41900
2016-11-04,4.6,4.89,4.56,4.74,4.74,52500
2016-11-07,4.89,4.92,4.74,4.88,4.88,63200
2016-11-08,4.89,4.89,4.68,4.7,4.7,68000
2016-11-09,4.25,4.43,2.38,2.4,2.4,2003900
2016-11-10,2.45,2.59,1.96,2.02,2.02,1454400
2016-11-11,2.29,2.49,2.02,2.47,2.47,908800
2016-11-14,2.65,2.7,2.31,2.4,2.4,1093200
2016-11-15,2.43,2.43,2.15,2.2,2.2,1084100
2016-11-16,2.22,2.29,2.18,2.22,2.22,453900
2016-11-17,2.13,2.28,2.13,2.24,2.24,1128100
2016-11-18,2.26,2.5,2.21,2.45,2.45,1779200
2016-11-21,2.52,3.0,2.42,2.9,2.9,1576600
2016-11-22,2.86,3.28,2.7,3.18,3.18,1625000
2016-11-23,3.1,3.15,2.86,3.11,3.11,551900
2016-11-28,3.13,3.19,2.87,2.89,2.89,360600
2016-11-29,2.88,2.9,2.7,2.87,2.87,435700
2016-11-30,2.89,2.93,2.79,2.8,2.8,211100
2016-12-01,2.8,2.97,2.77,2.86,2.86,250600
2016-12-02,2.89,3.05,2.81,3.01,3.01,564900
2016-12-05,3.06,3.2,3.02,3.13,3.13,440700
2016-12-06,3.13,3.2,3.053,3.08,3.08,258400
2016-12-07,3.08,3.11,2.95,3.0,3.0,264500
2016-12-08,2.98,3.035,2.775,2.8,2.8,458200
2016-12-09,2.82,2.9,2.81,2.88,2.88,285000
2016-12-12,2.9,2.97,2.79,2.82,2.82,280900
2016-12-13,2.84,2.84,2.77,2.8,2.8,247000
2016-12-14,2.78,2.79,2.68,2.72,2.72,175500
2016-12-16,2.76,2.85,2.72,2.78,2.78,403400
2016-12-19,2.85,2.89,2.7,2.72,2.72,315200
2016-12-20,2.73,2.82,2.66,2.75,2.75,199900
2016-12-21,2.77,2.79,2.67,2.7,2.7,104000
2016-12-23,2.71,2.8,2.71,2.8,2.8,177300
2016-12-27,2.78,2.88,2.76,2.78,2.78,278700
2016-12-28,2.78,2.8,2.6,2.7,2.7,272900
2016-12-29,2.68,2.76,2.58,2.58,2.58,235400
2016-12-30,2.6,2.69,2.49,2.65,2.65,594400
2017-01-03,2.68,2.71,2.53,2.55,2.55,190600
2017-01-04,2.57,2.81,2.55,2.78,2.78,155100
2017-01-09,2.77,2.77,2.66,2.67,2.67,77000
2017-01-10,2.66,2.78,2.66,2.69,2.69,86900
2017-01-11,2.69,2.79,2.67,2.74,2.74,62800
